Name,Symbol
Bitcoin,BTC-USD
Ethereum,ETH-USD
Binance Coin,BNB-USD
Tether,USDT-USD
Cardano,ADA-USD
Solana,SOL-USD
Ripple,XRP-USD
Polkadot,DOT-USD
Dogecoin,DOGE-USD
Shiba Inu,SHIB-USD
Litecoin,LTC-USD
Avalanche,AVAX-USD
Chainlink,LINK-USD
Terra,LUNA-USD
Polygon,MATIC-USD
Uniswap,UNI-USD
Stellar,XLM-USD
VeChain,VET-USD
Filecoin,FIL-USD
Cosmos,ATOM-USD
Internet Computer,ICP-USD
Monero,XMR-USD
Aave,AAVE-USD
Algorand,ALGO-USD
Tezos,XTZ-USD
EOS,EOS-USD
IOTA,MIOTA-USD
Zcash,ZEC-USD
Bitcoin Cash,BCH-USD
Dash,DASH-USD
NEO,NEO-USD
Kusama,KSM-USD
Compound,COMP-USD
Maker,MKR-USD
PancakeSwap,CAKE-USD
Theta,THETA-USD
Harmony,ONE-USD
Elrond,EGLD-USD
Synthetix,SNX-USD
Fantom,FTM-USD
Gala,GALA-USD
Celo,CELO-USD
Helium,HNT-USD
Huobi Token,HT-USD
OKB,OKB-USD
Chiliz,CHZ-USD
Waves,WAVES-USD
Decentraland,MANA-USD
Sandbox,SAND-USD
Axie Infinity,AXS-USD
Enjin Coin,ENJ-USD
Basic Attention Token,BAT-USD
Yearn.Finance,YFI-USD
Quant,QNT-USD
Bitcoin SV,BSV-USD
Decred,DCR-USD
Holo,HOT-USD
Ontology,ONT-USD
Loopring,LRC-USD
Reserve Rights,RSR-USD
Ravencoin,RVN-USD
Nano,XNO-USD
Kyber Network,KNC-USD
Qtum,QTUM-USD
Arweave,AR-USD
Audius,AUDIO-USD
Storj,STORJ-USD
Civic,CVC-USD
Balancer,BAL-USD
Perpetual Protocol,PERP-USD
Injective Protocol,INJ-USD
1inch,1INCH-USD
Ren,REN-USD
Oasis Network,ROSE-USD
SKALE,SKL-USD
Serum,SRM-USD
Smooth Love Potion,SLP-USD
Moonriver,MOVR-USD
Chromia,CHR-USD
Fetch.ai,FET-USD
Ankr,ANKR-USD
Spell Token,SPELL-USD
Keep Network,KEEP-USD
Mina,MINA-USD
COTI,COTI-USD
TrueFi,TRU-USD
Immutable X,IMX-USD
Celer Network,CELR-USD
API3,API3-USD
Radicle,RAD-USD
XYO,XYO-USD
Orchid,OXT-USD
Cartesi,CTSI-USD
Amp,AMP-USD
Power Ledger,POWR-USD
Metadium,META-USD
Origin Protocol,OGN-USD
Doge Killer,LEASH-USD
